username,white,score,accuracy,rating,tournament,round,points,rank,possible_rank
0gzpanda,False,1.0,78.4,3052,late-titled-tuesday-blitz-september-26-2023-4293686,1,1.0,1,1
0gzpanda,True,1.0,98.7,3053,late-titled-tuesday-blitz-september-26-2023-4293686,2,2.0,1,1
0gzpanda,False,0.0,81.3,3040,late-titled-tuesday-blitz-september-26-2023-4293686,3,2.0,2,2
0gzpanda,True,1.0,80.0,3041,late-titled-tuesday-blitz-september-26-2023-4293686,4,3.0,2,2
0gzpanda,False,1.0,88.0,3043,late-titled-tuesday-blitz-september-26-2023-4293686,5,4.0,3,3
0gzpanda,True,0.0,75.1,3031,late-titled-tuesday-blitz-september-26-2023-4293686,6,4.0,4,4
0gzpanda,False,0.0,68.1,3017,late-titled-tuesday-blitz-september-26-2023-4293686,7,4.0,7,7
0gzpanda,True,1.0,89.2,3018,late-titled-tuesday-blitz-september-26-2023-4293686,8,5.0,7,7
0gzpanda,False,1.0,92.9,3019,late-titled-tuesday-blitz-september-26-2023-4293686,9,6.0,5,5
0gzpanda,True,1.0,81.8,3021,late-titled-tuesday-blitz-september-26-2023-4293686,10,7.0,5,5
0gzpanda,False,1.0,78.2,3024,late-titled-tuesday-blitz-september-26-2023-4293686,11,8.0,5,5
1800_strength,False,1.0,94.2,2839,early-titled-tuesday-blitz-august-06-2024-4956447,1,1.0,1,1
1800_strength,True,1.0,91.2,2842,early-titled-tuesday-blitz-august-06-2024-4956447,2,2.0,1,1
1800_strength,False,1.0,,2845,early-titled-tuesday-blitz-august-06-2024-4956447,3,3.0,1,1
1800_strength,True,1.0,,2847,early-titled-tuesday-blitz-august-06-2024-4956447,4,4.0,1,1
1800_strength,False,1.0,,2859,early-titled-tuesday-blitz-august-06-2024-4956447,5,5.0,1,1
1800_strength,False,0.0,83.8,2853,early-titled-tuesday-blitz-august-06-2024-4956447,6,5.0,3,3
1800_strength,True,0.0,86.5,2850,early-titled-tuesday-blitz-august-06-2024-4956447,7,5.0,4,4
1800_strength,False,1.0,94.2,2854,early-titled-tuesday-blitz-august-06-2024-4956447,8,6.0,4,4
1800_strength,True,1.0,89.9,2867,early-titled-tuesday-blitz-august-06-2024-4956447,9,7.0,4,4
1800_strength,True,1.0,90.8,2877,early-titled-tuesday-blitz-august-06-2024-4956447,10,8.0,2,2
1800_strength,False,0.0,87.3,2872,early-titled-tuesday-blitz-august-06-2024-4956447,11,8.0,5,5
a-fier,False,1.0,87.0,2792,early-titled-tuesday-blitz-february-20-2024-4576498,1,1.0,1,1
a-fier,True,1.0,83.0,2795,early-titled-tuesday-blitz-february-20-2024-4576498,2,2.0,1,1
a-fier,False,1.0,69.1,2799,early-titled-tuesday-blitz-february-20-2024-4576498,3,3.0,1,1
a-fier,True,1.0,80.7,2811,early-titled-tuesday-blitz-february-20-2024-4576498,4,4.0,1,1
a-fier,False,1.0,78.9,2822,early-titled-tuesday-blitz-february-20-2024-4576498,5,5.0,1,1
a-fier,True,0.0,76.7,2818,early-titled-tuesday-blitz-february-20-2024-4576498,6,5.0,3,3
a-fier,True,1.0,81.1,2829,early-titled-tuesday-blitz-february-20-2024-4576498,7,6.0,3,3
a-fier,False,1.0,90.3,2843,early-titled-tuesday-blitz-february-20-2024-4576498,8,7.0,3,3
a-fier,False,1.0,89.8,2855,early-titled-tuesday-blitz-february-20-2024-4576498,9,8.0,2,2
a-fier,True,0.0,83.8,2852,early-titled-tuesday-blitz-february-20-2024-4576498,10,8.0,2,2
a-fier,False,1.0,89.1,2857,early-titled-tuesday-blitz-february-20-2024-4576498,11,9.0,3,3
aa175,False,1.0,,2939,early-titled-tuesday-blitz-december-03-2024-5248885,1,1.0,1,1
aa175,True,1.0,,2941,early-titled-tuesday-blitz-december-03-2024-5248885,2,2.0,1,1
aa175,False,1.0,92.5,2944,early-titled-tuesday-blitz-december-03-2024-5248885,3,3.0,1,1
aa175,True,1.0,95.6,2946,early-titled-tuesday-blitz-december-03-2024-5248885,4,4.0,1,1
aa175,True,0.5,91.9,2950,early-titled-tuesday-blitz-december-03-2024-5248885,5,4.5,2,2
aa175,False,0.0,80.6,2944,early-titled-tuesday-blitz-december-03-2024-5248885,6,4.5,4,4
aa175,False,1.0,86.6,2948,early-titled-tuesday-blitz-december-03-2024-5248885,7,5.5,4,4
aa175,True,1.0,,2953,early-titled-tuesday-blitz-december-03-2024-5248885,8,6.5,3,3
aa175,False,1.0,,2955,early-titled-tuesday-blitz-december-03-2024-5248885,9,7.5,3,3
aa175,True,0.0,84.9,2952,early-titled-tuesday-blitz-december-03-2024-5248885,10,7.5,4,4
aa175,False,1.0,83.3,2956,early-titled-tuesday-blitz-december-03-2024-5248885,11,8.5,4,4
abhidabhi,False,1.0,92.1,2946,early-titled-tuesday-blitz-june-04-2024-4800123,1,1.0,1,1
abhidabhi,True,0.0,66.1,2932,early-titled-tuesday-blitz-june-04-2024-4800123,2,1.0,3,3
abhidabhi,False,1.0,98.0,2933,early-titled-tuesday-blitz-june-04-2024-4800123,3,2.0,3,3
abhidabhi,True,1.0,88.1,2935,early-titled-tuesday-blitz-june-04-2024-4800123,4,3.0,3,3
abhidabhi,False,1.0,89.7,2938,early-titled-tuesday-blitz-june-04-2024-4800123,5,4.0,3,3
abhidabhi,True,1.0,91.1,2942,early-titled-tuesday-blitz-june-04-2024-4800123,6,5.0,3,3
abhidabhi,False,0.0,76.6,2929,early-titled-tuesday-blitz-june-04-2024-4800123,7,5.0,5,5
abhidabhi,True,1.0,94.1,2933,early-titled-tuesday-blitz-june-04-2024-4800123,8,6.0,4,4
abhidabhi,False,0.0,69.4,2921,early-titled-tuesday-blitz-june-04-2024-4800123,9,6.0,6,6
abhidabhi,True,1.0,78.4,2925,early-titled-tuesday-blitz-june-04-2024-4800123,10,7.0,5,5
abhidabhi,False,1.0,84.3,2929,early-titled-tuesday-blitz-june-04-2024-4800123,11,8.0,4,4
abhidabhi,True,1.0,90.6,2987,early-titled-tuesday-blitz-april-30-2024-4739547,1,1.0,1,1
abhidabhi,False,0.0,79.8,2973,early-titled-tuesday-blitz-april-30-2024-4739547,2,1.0,3,3
abhidabhi,True,1.0,86.9,2974,early-titled-tuesday-blitz-april-30-2024-4739547,3,2.0,3,3
abhidabhi,False,1.0,89.1,2976,early-titled-tuesday-blitz-april-30-2024-4739547,4,3.0,3,3
abhidabhi,True,0.0,76.8,2963,early-titled-tuesday-blitz-april-30-2024-4739547,5,3.0,5,5
abhidabhi,False,1.0,88.2,2965,early-titled-tuesday-blitz-april-30-2024-4739547,6,5.0,3,3
abhidabhi,True,1.0,80.9,2968,early-titled-tuesday-blitz-april-30-2024-4739547,7,6.0,3,3
abhidabhi,False,0.5,95.7,2964,early-titled-tuesday-blitz-april-30-2024-4739547,8,5.5,5,5
abhidabhi,True,1.0,98.0,2968,early-titled-tuesday-blitz-april-30-2024-4739547,9,7.0,3,3
abhidabhi,False,1.0,87.1,2973,early-titled-tuesday-blitz-april-30-2024-4739547,10,7.0,5,5
abhidabhi,True,1.0,94.4,2977,early-titled-tuesday-blitz-april-30-2024-4739547,11,8.0,5,5
abhidabhi,False,1.0,86.7,2913,early-titled-tuesday-blitz-november-21-2023-4387758,1,1.0,1,1
abhidabhi,True,1.0,89.4,2915,early-titled-tuesday-blitz-november-21-2023-4387758,2,2.0,1,1
abhidabhi,False,0.0,95.7,2902,early-titled-tuesday-blitz-november-21-2023-4387758,3,1.0,4,4
abhidabhi,True,1.0,83.1,2904,early-titled-tuesday-blitz-november-21-2023-4387758,4,3.0,3,3
abhidabhi,False,1.0,89.5,2908,early-titled-tuesday-blitz-november-21-2023-4387758,5,4.0,3,3
abhidabhi,False,1.0,86.5,2913,early-titled-tuesday-blitz-november-21-2023-4387758,6,5.0,3,3
abhidabhi,True,1.0,85.9,2916,early-titled-tuesday-blitz-november-21-2023-4387758,7,6.0,3,3
abhidabhi,False,0.0,85.3,2911,early-titled-tuesday-blitz-november-21-2023-4387758,8,5.0,7,7
abhidabhi,True,0.5,90.6,2909,early-titled-tuesday-blitz-november-21-2023-4387758,9,6.5,5,5
abhidabhi,False,1.0,93.6,2914,early-titled-tuesday-blitz-november-21-2023-4387758,10,7.0,5,5
abhidabhi,True,0.5,97.0,2913,early-titled-tuesday-blitz-november-21-2023-4387758,11,7.5,5,5
abhidabhi,False,1.0,84.9,2876,early-titled-tuesday-blitz-october-24-2023-4335031,1,1.0,1,1
